S,B,is_validation,status,stage,latency,memory,energy,flops_reference,energy_error,free_bytes_before,energy_passes,energy_duration,energy_method
224,64,False,OK,done,0.015188472000033926,335904768,1.0729250000000001,56904407296,,15504048128,200,3.030869337000013,nvml_counter
272,256,True,OK,done,0.14075586950002617,1761968128,9.572766666666666,335581766656,,15472590848,30,4.240771735000067,nvml_counter
64,56,True,OK,done,0.001129278500059172,29327360,0.08843605150214592,4080733664,,15472590848,2330,3.0061357810000118,nvml_counter
80,56,True,OK,done,0.0020120544999713275,38100992,0.14700857142857143,6366264800,,15472590848,1400,3.003219285,nvml_counter
272,16,True,OK,done,0.005971775999967122,125280256,0.39422115384615386,20973860416,,15472590848,520,3.0542593340001076,nvml_counter
400,128,True,OK,done,0.15470894499998167,1948557312,10.530100000000001,362822873600,,15472590848,20,3.140764802000035,nvml_counter
224,56,True,OK,done,0.014982212500058267,320995328,1.063485,49791356384,,15472590848,200,3.0382938000000195,nvml_counter
512,64,False,OK,done,0.08091003399999863,1553596416,5.455299999999999,297211681024,,15472590848,40,3.2453262940000513,nvml_counter
256,16,False,OK,done,0.0054455265000115105,119316480,0.3732875,18579494464,,15472590848,560,3.024442381999961,nvml_counter
80,4,True,OK,done,0.0005448439999895527,25235456,0.03553056994818653,454733200,,15472590848,5790,3.00143455500006,nvml_counter
128,64,False,OK,done,0.005798118999962298,119316480,0.3805849056603774,18594552064,,15472590848,530,3.039243768999995,nvml_counter
80,8,True,OK,done,0.0005333974999643942,18752000,0.04008484251968504,909466400,,15472590848,5080,3.001731929000016,nvml_counter
128,256,False,OK,done,0.03280791750000844,431923200,2.257277777777778,74378208256,,15472590848,90,3.0049629380000624,nvml_counter
32,16,False,OK,done,0.0005642455000156588,14843904,0.027843371757925072,295245376,,15472590848,6940,3.0016135189999886,nvml_counter
384,4,False,OK,done,0.003451068000003943,53837824,0.21520444444444445,10449397136,,15472590848,900,3.0032494560000487,nvml_counter
384,29,True,OK,done,0.023056824999969194,421122048,1.5502615384615384,75758129236,,15472590848,130,3.008509237999988,nvml_counter
128,1,False,OK,done,0.0006061595000232955,24412160,0.04021923076923077,290539876,,15472590848,4940,3.0044500489999564,nvml_counter
272,128,True,OK,done,0.08031253500001867,887660544,5.5146999999999995,167790883328,,15472590848,40,3.2411202279999998,nvml_counter
128,16,False,OK,done,0.001485565499990571,32210944,0.10516153846153846,4648638016,,15472590848,1820,3.009853291000013,nvml_counter
256,4,False,OK,done,0.0014329879999763762,32210944,0.1068881081081081,4644873616,,15472590848,1850,3.014734537000095,nvml_counter
64,32,False,OK,done,0.0008077985000340959,22642688,0.06443548387096774,2331847808,,15472590848,3100,3.0068286669999225,nvml_counter
32,179,True,OK,done,0.0032935975000327744,76743168,0.21715604395604396,3303057644,,15472590848,910,3.0050420550001036,nvml_counter
128,32,False,OK,done,0.0038759595000215086,49381376,0.21660989010989012,9297276032,,15472590848,910,3.0046683089999533,nvml_counter
32,256,False,OK,done,0.0045427490000520265,103669760,0.288925,4723926016,,15472590848,680,3.031890497000063,nvml_counter
400,1,True,OK,done,0.0008314510000104747,24609792,0.06674353741496598,2834553700,,15472590848,2940,3.0085948350000535,nvml_counter
256,29,True,OK,done,0.011656719499967494,217751552,0.7872307692307693,33675333716,,15472590848,260,3.0691700460000675,nvml_counter
512,56,True,OK,done,0.0885183805000338,1478098944,5.767175,260060220896,,15472590848,40,3.5260092760000816,nvml_counter
352,256,True,OK,done,0.27995196000000533,2819719168,17.9757,561958183936,,15472590848,20,5.498547731999906,nvml_counter
384,1,False,OK,done,0.000734996999995019,23822336,0.06391258064516128,2612349284,,15472590848,3100,3.001130554000042,nvml_counter
32,1,False,OK,done,0.0005033150000031128,18763776,0.02567549770290965,18452836,,15472590848,6530,3.0037280550000105,nvml_counter
64,1,False,OK,done,0.0005187364999983402,23969792,0.03741860465116279,72870244,,15472590848,4730,3.000682334000089,nvml_counter
512,32,False,OK,done,0.04505440349998935,784355328,2.9562571428571425,148605840512,,15472590848,70,3.1764499700000215,nvml_counter
256,179,True,OK,done,0.09972874449999836,1236631552,6.645466666666667,207858094316,,15472590848,30,3.0134546169999794,nvml_counter
80,1,True,OK,done,0.0005282145000364835,24052736,0.032744745762711865,113683300,,15472590848,5900,3.003032259000065,nvml_counter
272,64,True,OK,done,0.027895702499961317,451387392,1.8754272727272727,83895441664,,15472590848,110,3.079834089999963,nvml_counter
400,32,True,OK,done,0.029725655500044468,499458048,1.9953999999999998,90705718400,,15472590848,100,3.0143750429999727,nvml_counter
224,8,False,OK,done,0.002694861000009041,41025536,0.17095689655172414,7113050912,,15472590848,1160,3.011734312000044,nvml_counter
64,8,False,OK,done,0.0005067724999889833,17793536,0.033371570247933885,582961952,,15472590848,6050,3.0038292240000146,nvml_counter
272,32,True,OK,done,0.014360315499970966,234201088,0.9487666666666668,41947720832,,15472590848,210,3.0061496470000293,nvml_counter
256,64,False,OK,done,0.024531612499913535,431923200,1.5871384615384616,74317977856,,15472590848,130,3.189559050000071,nvml_counter
64,179,True,OK,done,0.007494024999971316,100938240,0.482715,13043773676,,15472590848,400,3.010867982000036,nvml_counter
128,128,False,OK,done,0.017888627999980145,223518720,1.2122411764705883,37189104128,,15472590848,170,3.068181518000074,nvml_counter
256,32,False,OK,done,0.01224483899994766,223518720,0.7975599999999999,37158988928,,15472590848,250,3.043342781999968,nvml_counter
352,29,True,OK,done,0.021198085499918307,354336768,1.41896,63659325524,,15472590848,150,3.181950865999852,nvml_counter
80,32,True,OK,done,0.0012136044999806472,27656192,0.09556019417475729,3637865600,,15472590848,2060,3.017931562000058,nvml_counter
512,4,False,OK,done,0.006481913000015993,85032960,0.4073612244897959,18575730064,,15472590848,490,3.0319122149999203,nvml_counter
352,2,True,OK,done,0.001374880499952269,30580736,0.11026833333333333,4390298312,,15472590848,1800,3.0165416639999876,nvml_counter
32,128,False,OK,done,0.0022870540000212713,59342848,0.15648425196850393,2361963008,,15472590848,1270,3.007230447999973,nvml_counter
80,128,True,OK,done,0.008838384000114274,90931200,0.5885705882352942,14551462400,,15472590848,340,3.0055150770001546,nvml_counter
256,56,True,OK,done,0.02137979500014353,413048832,1.4259785714285715,65028230624,,15472590848,140,3.0164433649999864,nvml_counter
80,2,True,OK,done,0.0006006415001138521,24283136,0.03536971326164875,227366600,,15472590848,5580,3.002568915999973,nvml_counter
384,16,False,OK,done,0.013524285500125188,227639296,0.8961434782608696,41797588544,,15472590848,230,3.1016710030000922,nvml_counter
80,16,True,OK,done,0.0008854674999838608,20692992,0.057691545189504374,1818932800,,15472590848,3430,3.000519489999988,nvml_counter
352,179,True,OK,done,0.19641619350011297,2060992512,13.01885,392931698924,,15472590848,20,3.931376408999995,nvml_counter
352,128,True,OK,done,0.13525393549991804,1418821632,8.898833333333332,280979091968,,15472590848,30,4.13090936399999,nvml_counter
224,29,True,OK,done,0.00924806149998858,170196992,0.6041454545454545,25784809556,,15472590848,330,3.0508178810000572,nvml_counter
32,29,True,OK,done,0.0006061959999215105,15749120,0.03797542533081285,535132244,,15472590848,5290,3.0036575870001343,nvml_counter
256,128,False,OK,done,0.07070149599996967,848732160,4.659,148635955712,,15472590848,50,3.583557705999965,nvml_counter
400,256,True,OK,done,0.36407622199988054,3883048960,23.962,725645747200,,15472590848,10,3.6450763589998587,nvml_counter
